Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Canada,CAN,"School enrollment, primary (% gross)",SE.PRM.ENRR,97.36457062,98.88063049,98.96647644,98.01331329,99.00879669,98.64160156,98.1893692,99.51828003,100.3407135,101.5366592,102.4850769,101.0238724,100.9436798,101.501091,100.9897537,..
Canada,CAN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.3911896,101.7282486,101.9034882,102.3444366,102.7344437,102.3984833,103.3489609,109.9874878,109.4859924,109.3330994,110.3565292,112.5142822,113.7628632,114.1235123,114.3332672,..
Canada,CAN,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.765880108,..,4.766409874,4.62612009,4.840579987,5.356369972,5.262050152,..,..,..,..,..,..,..,..,..
Canada,CAN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,..,..,..,..,..,..,..,0.614790022,0.240580007,..,..,..,..,..,..
Canada,CAN,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,..,..,..,..,..,..,..,0.36947,0.331479996,..,..,..,..,..,..
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,115.2991486,117.2033005,118.0511093,118.5934601,117.905983,116.9757614,115.6147308,114.2271729,112.0119476,111.459671,111.3034134,110.7391815,109.7414627,109.6591721,109.5162964,..
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,92.76067352,91.81352997,91.91613007,93.23705292,96.61971283,99.50125885,101.5350037,103.4764786,105.0414124,106.0355606,106.9464722,108.4623337,108.7335968,107.6472778,108.2308426,..
Argentina,ARG,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,94.81124115,97.14913177,99.95810699,103.0978088,103.1102982,103.1453171,103.6578522,102.9941177,101.175209,102.5903931,102.4773331,104.3348923,99.69320679,98.43654633,98.17658234,..
Argentina,ARG,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,94.47753143,97.05728912,99.78044891,103.1850433,103.4908524,103.9749374,104.1096115,103.6979294,102.0984268,103.6044617,103.4526901,103.4678116,100.2227936,98.96637726,98.90470123,..
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.454319954,4.945519924,4.802370071,..
Argentina,ARG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,98.51077271,..,..,99.00176239,98.92807007,98.99983978,99.0999527,99.09120941,98.93282318,99.20877075,99.14309692,..,99.06204224,..,..
Argentina,ARG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,98.72718811,..,..,98.96272278,98.98532104,99.22830963,99.11112976,99.15602875,99.06124878,99.14824677,99.1049881,..,98.93773651,..,..
Argentina,ARG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,..,99.50357056,..,..,99.69673157,99.58866882,99.71144867,99.6142807,99.59812164,99.40239716,99.64350128,99.62892914,..,99.75765228,..,..
Argentina,ARG,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,..,99.38613892,..,..,99.47492218,99.0121994,99.54524994,99.14453125,99.51033783,99.19586945,99.48339844,99.38448334,..,99.24182892,..,..
Argentina,ARG,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,0.812740028,0.316179991,..,..,..,..,..,..,..,..,0.120250002,..,..,1.253700018,..
Argentina,ARG,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,5.293320179,5.053599834,..,..,..,..,..,..,..,..,0.138270006,..,..,0.635370016,..
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.8740234,..,..,..,..,..,..,..,99.45543671,99.67337799,100.2999115,101.3628616,101.8214417,101.2565613,100.9813004,..
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.0524826,..,..,..,..,..,..,..,96.18649292,96.92453766,97.65254974,98.76992798,98.95233917,99.27558136,100.0634308,..
