Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,13.52000046,12.34000015,..,9.680000305,9.829999924,9.170000076,8.489999771,8.789999962,8.460000038,8.359999657,..,..,9.449999809,10.51000023,10.68999958,12.35999966
Argentina,ARG,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,10,8.359999657,..,6.46999979,7.760000229,6.650000095,6.239999771,6.059999943,6.099999905,6.46999979,..,..,7.510000229,8.199999809,9.180000305,10.75
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.831,77.996,78.16,78.323,78.485,78.646,78.806,78.966,79.124,79.281,79.434,79.583,79.726,79.863,79.995,..
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,71.008,71.179,71.347,71.513,71.676,71.837,71.995,72.151,72.306,72.46,72.614,72.768,72.924,73.082,73.242,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667,..
Argentina,ARG,Net migration,SM.POP.NETM,..,..,-120000,..,..,..,..,30000,..,..,..,..,24000,..,..,..
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,59.1631553,58.74958429,58.22838117,57.66954867,57.17997682,56.81596915,56.54174813,56.37918796,56.2922668,56.21224041,56.10360435,56.10227058,56.04635544,55.95447291,55.85703345,55.76766101
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,30.3,25.7,32,35.5,42
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.036268365,1.015454578,0.998884153,0.992570476,0.999542289,0.752217993,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991
Argentina,ARG,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.664499364,-0.694341193,-0.709501029,-0.724397647,-0.715167534,-0.959654051,-0.3997476,-0.32770453,-0.332978803,-0.374035542,-0.393992379,-0.412892629,-0.430673051,-0.46153037,-0.506115919,-0.53958153
