Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,13.52000046,12.34000015,..,9.680000305,9.829999924,9.170000076,8.489999771,8.789999962,8.460000038,8.359999657,..,..,9.449999809,10.51000023,10.68999958,12.35999966
Argentina,ARG,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,10,8.359999657,..,6.46999979,7.760000229,6.650000095,6.239999771,6.059999943,6.099999905,6.46999979,..,..,7.510000229,8.199999809,9.180000305,10.75
Canada,CAN,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,6.460000038,6.090000153,5.650000095,5.650000095,7.010000229,7.239999771,7.010000229,6.820000172,6.599999905,6.389999866,6.289999962,6.239999771,5.849999905,5.489999771,5.25,9.390000343
Canada,CAN,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,7.010000229,6.519999981,6.380000114,6.570000172,9.539999962,8.789999962,7.960000038,7.71999979,7.5,7.380000114,7.460000038,7.679999828,6.78000021,6.139999866,6.03000021,9.529999733
United States,USA,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,5.099999905,4.630000114,4.5,5.420000076,8.069999695,8.619999886,8.460000038,7.889999866,7.079999924,6.059999943,5.179999828,4.789999962,4.309999943,3.839999914,3.609999895,8.350000381
United States,USA,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,5.070000172,4.619999886,4.730000019,6.099999905,10.28999996,10.52000046,9.369999886,8.229999542,7.639999866,6.260000229,5.369999886,4.940000057,4.400000095,3.950000048,3.720000029,7.800000191
Mali,MLI,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,12.77000046,..,..,11.10999966,..,..,8.239999771,6.300000191,8.739999771,1.299999952,8.340000153,1.559999943,..,..
Mali,MLI,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,10.57999992,..,..,6.039999962,..,..,4.550000191,6.440000057,6.860000134,1.419999957,6.650000095,1.669999957,..,..
Mexico,MEX,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,3.900000095,3.880000114,3.99000001,4.03000021,5.349999905,5.179999828,5.130000114,4.880000114,4.960000038,4.849999905,4.449999809,3.910000086,3.599999905,3.430000067,3.50999999,4.099999905
Mexico,MEX,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,3.359999895,3.380000114,3.410000086,3.779999971,5.360000134,5.369999886,5.190000057,4.889999866,4.889999866,4.789999962,4.230000019,3.829999924,3.309999943,3.190000057,3.450000048,4.670000076
Niger,NER,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,2.700000048,..,..,..,..,..,0.219999999,3.710000038,..,0.430000007,..,..,7.789999962,..,..,..
Niger,NER,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,3.400000095,..,..,..,..,..,0.400000006,1.669999957,..,0.600000024,..,..,7.760000229,..,..,..
Nigeria,NGA,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,..,..,..,..,3.690000057,..,3.380000114,5.349999905,5.059999943,8.029999733,9.149999619,..,12.47999954,..
Nigeria,NGA,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,..,..,..,..,3.839999914,..,4.010000229,3.829999924,3.619999886,6.139999866,7.590000153,..,9.25,..
Ethiopia,ETH,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,3.25,..,..,..,..,..,..,..,2.940000057,..,..,..,..,..,..,..
Ethiopia,ETH,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,1.809999943,..,..,..,..,..,..,..,1.649999976,..,..,..,..,..,..,..
Pakistan,PAK,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,12.06000042,0.319999993,0.25,0.529999971,0.360000014,0.639999986,0.670000017,..,3.420000076,2.00999999,6.110000134,..,..,4.550000191,6.260000229,..
Pakistan,PAK,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,5.960000038,0.639999986,0.430000007,0.400000006,0.579999983,0.660000026,0.829999983,..,2.819999933,1.769999981,2.799999952,..,..,3.960000038,4.409999847,..

