,id,primarySchoolEnrollment,secondarySchoolEnrollment,femalePrimaryCompletionRate,malePrimaryCompletionRate,adultFemaleLiteracyRate,adultMaleLiteracyRate,youthFemaleLiteracyRate,youthMaleLiteracyRate,maleChildrenOutOfPrimarySchool,femaleChildrenOutOfPrimarySchool,femaleAdolescentsOutOfPrimarySchool,maleAdolescentsOutOfPrimarySchool
0,1,97.36457062,101.3911896,,,4.765880108,,,,,,,
1,2,98.88063049,101.7282486,,,,,,,,,,
2,3,98.96647644,101.9034882,,,4.766409874,,,,,,,
3,4,98.01331329,102.3444366,,,4.62612009,,,,,,,
4,5,99.00879669,102.7344437,,,4.840579987,,,,,,,
5,6,98.64160156,102.3984833,,,5.356369972,,,,,,,
6,7,98.1893692,103.3489609,,,5.262050152,,,,,,,
7,8,99.51828003,109.9874878,,,,,,,,,,
8,9,100.3407135,109.4859924,,,,,,,,,,0.614790022
9,10,101.5366592,109.3330994,,,,,,,,,,0.240580007
10,11,102.4850769,110.3565292,,,,,,,,,,
11,12,101.0238724,112.5142822,,,,,,,,,,
12,13,100.9436798,113.7628632,,,,,,,,,,
13,14,101.501091,114.1235123,,,,,,,,,,
14,15,100.9897537,114.3332672,,,,,,,,,,
15,16,,,,,,,,,,,,
16,17,115.2991486,92.76067352,94.81124115,94.47753143,3.860009909,,,,,,,
17,18,117.2033005,91.81352997,97.14913177,97.05728912,4.128210068,98.51077271,98.72718811,99.50357056,99.38613892,,,0.812740028
18,19,118.0511093,91.91613007,99.95810699,99.78044891,4.462600231,,,,,,,0.316179991
19,20,118.5934601,93.23705292,103.0978088,103.1850433,4.844409943,,,,,,,
20,21,117.905983,96.61971283,103.1102982,103.4908524,5.531050205,99.00176239,98.96272278,99.69673157,99.47492218,,,
21,22,116.9757614,99.50125885,103.1453171,103.9749374,5.019710064,98.92807007,98.98532104,99.58866882,99.0121994,,,
22,23,115.6147308,101.5350037,103.6578522,104.1096115,5.290629864,98.99983978,99.22830963,99.71144867,99.54524994,,,
23,24,114.2271729,103.4764786,102.9941177,103.6979294,5.345829964,99.0999527,99.11112976,99.6142807,99.14453125,,,
24,25,112.0119476,105.0414124,101.175209,102.0984268,5.436610222,99.09120941,99.15602875,99.59812164,99.51033783,,,
25,26,111.459671,106.0355606,102.5903931,103.6044617,5.361440182,98.93282318,99.06124878,99.40239716,99.19586945,,,
26,27,111.3034134,106.9464722,102.4773331,103.4526901,5.776110172,99.20877075,99.14824677,99.64350128,99.48339844,,,
27,28,110.7391815,108.4623337,104.3348923,103.4678116,5.545489788,99.14309692,99.1049881,99.62892914,99.38448334,,,0.120250002
28,29,109.7414627,108.7335968,99.69320679,100.2227936,5.454319954,,,,,,,
29,30,109.6591721,107.6472778,98.43654633,98.96637726,4.945519924,99.06204224,98.93773651,99.75765228,99.24182892,,,
30,31,109.5162964,108.2308426,98.17658234,98.90470123,4.802370071,,,,,,,1.253700018
31,32,,,,,,,,,,,,
32,33,101.8740234,95.0524826,,,,,,,,0.26888001,0.847800016,
