,id,domesticHealthExpenditure,hospitalBeds,immunizationDPT,immunizationHepB3,immunizationHib3,immunizationPol3,immunizationMeasles,numberOfSurgicalProcedures,numberOfDeathInfant,numberOfDeathStillbirths,numberOfDeathElderly,numberOfHealthProfessionals,contraceptivePrevalenceMarried,contraceptivePrevalenceUnmarried,diabetesPrevalence,prevalenceOfAnemiaAmongChildren,prevalenceOfOverweight,adultsWithHIV,childrenWithHIV
0,1,3.9133997,4.0,98.0,88.0,98.0,95.0,98.0,,10716.0,,873.0,,,,,19.9,57.1,78000.0,1500.0
1,2,4.01898909,,91.0,84.0,91.0,92.0,97.0,,10454.0,,874.0,,,,,19.6,57.6,82000.0,1500.0
2,3,4.25491619,,91.0,85.0,91.0,92.0,94.0,,10242.0,,871.0,,,,,19.4,58.2,86000.0,1600.0
3,4,4.50853157,,93.0,90.0,93.0,94.0,96.0,,10043.0,,861.0,,,,,19.2,58.7,90000.0,1600.0
4,5,5.66982412,,94.0,94.0,94.0,97.0,96.0,,9821.0,,841.0,,,,,19.1,59.2,94000.0,1600.0
5,6,5.56834602,4.5,94.0,94.0,94.0,95.0,95.0,,9554.0,,813.0,,,,,18.8,59.7,99000.0,1600.0
6,7,5.68118334,4.39,91.0,91.0,91.0,93.0,95.0,,9228.0,,780.0,,,,5.5,18.7,60.2,100000.0,1500.0
7,8,6.13486385,4.59,91.0,91.0,91.0,90.0,94.0,,8861.0,,748.0,,,,,18.5,60.7,110000.0,1500.0
8,9,6.22041893,4.78,94.0,94.0,94.0,90.0,94.0,,8479.0,,721.0,,68.9,,,18.4,61.2,110000.0,1500.0
9,10,6.32730198,4.84,94.0,94.0,94.0,92.0,95.0,,8102.0,,700.0,,,,,18.3,61.8,120000.0,1400.0
10,11,6.59905815,3.1,93.0,14.0,93.0,93.0,94.0,,1800.0,,201.0,,,,,10.3,58.6,,
11,12,6.4866991,3.02,95.0,14.0,95.0,95.0,93.0,,1825.0,,192.0,,,,,10.3,59.2,,
12,13,6.57271051,2.96,94.0,14.0,93.0,99.0,94.0,,1845.0,,184.0,,,,,10.3,59.7,,
13,14,6.70117044,2.85,92.0,28.0,92.0,96.0,93.0,,1860.0,,177.0,,,,,10.3,60.2,,
14,15,7.52118206,2.8,91.0,42.0,91.0,93.0,91.0,,1869.0,,172.0,,,,,10.4,60.7,,
15,16,7.47694063,2.78,89.0,56.0,90.0,90.0,90.0,,1871.0,,168.0,,,,,10.4,61.2,,
16,17,7.30276871,2.8,87.0,70.0,89.0,87.0,88.0,,1866.0,,165.0,,,,8.4,10.5,61.7,,
17,18,7.4011817,2.79,91.0,70.0,90.0,91.0,89.0,,1855.0,,162.0,,,,,10.7,62.2,,
18,19,7.3582077,2.72,91.0,55.0,91.0,91.0,90.0,,1839.0,,162.0,,,,,10.9,62.7,,
19,20,7.23180246,2.67,91.0,55.0,91.0,91.0,90.0,,1820.0,,162.0,,,,,11.2,63.2,,
20,21,1.72821558,,44.0,,,56.0,40.0,,205677.0,,48662.0,,13.9,43.3,,58.5,15.9,580000.0,130000.0
21,22,1.1201272,0.2,46.0,,,59.0,44.0,,196895.0,,45519.0,,,,,56.9,16.3,560000.0,120000.0
22,23,1.33306789,,50.0,47.0,47.0,61.0,49.0,,188757.0,,42096.0,0.218,,,,55.3,16.7,550000.0,120000.0
23,24,0.51425028,0.2,54.0,52.0,52.0,63.0,54.0,,181356.0,,38682.0,0.296,,,,53.8,17.1,540000.0,110000.0
24,25,0.90700835,,58.0,56.0,56.0,65.0,59.0,,174702.0,,35189.0,0.363,,,,52.6,17.6,540000.0,100000.0
25,26,0.94396371,,61.0,62.0,62.0,69.0,64.0,,168763.0,20.25518999,31895.0,,,,,51.6,18.0,550000.0,97000.0
26,27,0.38117662,6.3,65.0,65.0,65.0,70.0,68.0,43.0,163338.0,20.25518999,28867.0,,27.3,52.3,3.4,51.0,18.5,560000.0,90000.0
27,28,1.06663215,,62.0,62.0,62.0,70.0,62.0,,158244.0,20.25518999,26043.0,,,,,50.6,18.9,560000.0,83000.0
28,29,1.0996722,,59.0,59.0,59.0,70.0,55.0,,153408.0,20.25518999,23491.0,,,,,50.4,19.4,570000.0,76000.0
29,30,0.71479219,,61.0,61.0,61.0,68.0,54.0,,148951.0,20.25518999,21175.0,,40.4,,,50.3,19.9,570000.0,70000.0
30,31,1.3972441,0.3,77.0,83.0,1.0,78.0,73.0,,53259.0,,7504.0,,,,,82.7,21.0,97000.0,20000.0
31,32,1.22407377,,78.0,90.0,16.0,79.0,68.0,,53252.0,,7578.0,,6.9,22.0,,82.3,21.6,96000.0,20000.0
32,33,0.99664676,,74.0,74.0,44.0,76.0,66.0,,53146.0,,7681.0,,,,,82.0,22.2,96000.0,20000.0
33,34,0.71611649,0.6,74.0,74.0,74.0,74.0,71.0,,52968.0,,7798.0,,,,,81.9,22.8,96000.0,20000.0
34,35,0.66759121,,73.0,71.0,73.0,77.0,73.0,,52666.0,,7903.0,0.008,,,,81.8,23.5,97000.0,20000.0
35,36,0.66898072,0.1,73.0,72.0,73.0,77.0,78.0,,52286.0,,7984.0,0.007,9.0,,,81.8,24.1,97000.0,19000.0
36,37,0.6047585,,66.0,66.0,66.0,72.0,72.0,,51817.0,,8103.0,,,,1.9,81.7,24.7,97000.0,18000.0
37,38,0.4135493,,65.0,65.0,65.0,65.0,67.0,,51282.0,,8221.0,,,,,81.8,25.4,98000.0,18000.0
38,39,0.81583822,,64.0,64.0,64.0,57.0,62.0,,50721.0,,8313.0,,9.9,33.5,,81.8,26.0,98000.0,17000.0
39,40,0.89173353,,66.0,66.0,66.0,62.0,61.0,,50154.0,27.12441149,8396.0,,,,,81.7,26.7,97000.0,17000.0
40,41,2.46497631,1.05,98.0,98.0,98.0,98.0,96.0,,44987.0,,3122.0,,,,,28.0,58.9,190000.0,1900.0
41,42,2.4219811,1.02,98.0,98.0,98.0,98.0,96.0,,43211.0,,3075.0,,66.5,,,27.5,59.5,190000.0,2200.0
42,43,2.52675962,1.06,98.0,98.0,98.0,98.0,96.0,,41560.0,,3040.0,,,,,26.9,60.1,200000.0,2400.0
43,44,2.61655498,1.03,96.0,97.0,96.0,96.0,96.0,,40080.0,,3011.0,,,,,26.3,60.6,210000.0,2400.0
44,45,2.86067677,1.02,95.0,95.0,95.0,95.0,96.0,,38731.0,,2974.0,,67.4,,,25.7,61.2,220000.0,2500.0
45,46,2.8809936,1.05,95.0,93.0,95.0,95.0,95.0,,37469.0,,2921.0,,,,,25.1,61.7,230000.0,2500.0
