id,name,quater,year,decade
1,January,1,2005,2000
2,February,1,2005,2000
3,March,1,2005,2000
4,April,2,2005,2000
5,May,2,2005,2000
6,June,2,2005,2000
7,July,3,2005,2000
8,August,3,2005,2000
9,September,3,2005,2000
10,October,4,2005,2000
11,November,4,2005,2000
12,December,4,2005,2000
13,January,1,2006,2000
14,February,1,2006,2000
15,March,1,2006,2000
16,April,2,2006,2000
17,May,2,2006,2000
18,June,2,2006,2000
19,July,3,2006,2000
20,August,3,2006,2000
21,September,3,2006,2000
22,October,4,2006,2000
23,November,4,2006,2000
24,December,4,2006,2000
25,January,1,2007,2000
26,February,1,2007,2000
27,March,1,2007,2000
28,April,2,2007,2000
29,May,2,2007,2000
30,June,2,2007,2000
31,July,3,2007,2000
32,August,3,2007,2000
33,September,3,2007,2000
34,October,4,2007,2000
35,November,4,2007,2000
36,December,4,2007,2000
37,January,1,2008,2000
38,February,1,2008,2000
39,March,1,2008,2000
40,April,2,2008,2000
41,May,2,2008,2000
42,June,2,2008,2000
43,July,3,2008,2000
44,August,3,2008,2000
45,September,3,2008,2000
46,October,4,2008,2000
47,November,4,2008,2000
48,December,4,2008,2000
49,January,1,2009,2000
50,February,1,2009,2000
51,March,1,2009,2000
52,April,2,2009,2000
53,May,2,2009,2000
54,June,2,2009,2000
55,July,3,2009,2000
56,August,3,2009,2000
57,September,3,2009,2000
58,October,4,2009,2000
59,November,4,2009,2000
60,December,4,2009,2000
61,January,1,2010,2010
62,February,1,2010,2010
63,March,1,2010,2010
64,April,2,2010,2010
65,May,2,2010,2010
66,June,2,2010,2010
67,July,3,2010,2010
68,August,3,2010,2010
69,September,3,2010,2010
70,October,4,2010,2010
71,November,4,2010,2010
72,December,4,2010,2010
73,January,1,2011,2010
74,February,1,2011,2010
75,March,1,2011,2010
76,April,2,2011,2010
77,May,2,2011,2010
78,June,2,2011,2010
79,July,3,2011,2010
80,August,3,2011,2010
81,September,3,2011,2010
82,October,4,2011,2010
83,November,4,2011,2010
84,December,4,2011,2010
85,January,1,2012,2010
86,February,1,2012,2010
87,March,1,2012,2010
88,April,2,2012,2010
89,May,2,2012,2010
90,June,2,2012,2010
91,July,3,2012,2010
92,August,3,2012,2010
93,September,3,2012,2010
94,October,4,2012,2010
95,November,4,2012,2010
96,December,4,2012,2010
97,January,1,2013,2010
98,February,1,2013,2010
99,March,1,2013,2010
100,April,2,2013,2010
101,May,2,2013,2010
102,June,2,2013,2010
103,July,3,2013,2010
104,August,3,2013,2010
105,September,3,2013,2010
106,October,4,2013,2010
107,November,4,2013,2010
108,December,4,2013,2010
109,January,1,2014,2010
110,February,1,2014,2010
111,March,1,2014,2010
112,April,2,2014,2010
113,May,2,2014,2010
114,June,2,2014,2010
115,July,3,2014,2010
116,August,3,2014,2010
117,September,3,2014,2010
118,October,4,2014,2010
119,November,4,2014,2010
120,December,4,2014,2010
121,January,1,2015,2010
122,February,1,2015,2010
123,March,1,2015,2010
124,April,2,2015,2010
125,May,2,2015,2010
126,June,2,2015,2010
127,July,3,2015,2010
128,August,3,2015,2010
129,September,3,2015,2010
130,October,4,2015,2010
131,November,4,2015,2010
132,December,4,2015,2010
133,January,1,2016,2010
134,February,1,2016,2010
135,March,1,2016,2010
136,April,2,2016,2010
137,May,2,2016,2010
138,June,2,2016,2010
139,July,3,2016,2010
140,August,3,2016,2010
141,September,3,2016,2010
142,October,4,2016,2010
143,November,4,2016,2010
144,December,4,2016,2010
145,January,1,2017,2010
146,February,1,2017,2010
147,March,1,2017,2010
148,April,2,2017,2010
149,May,2,2017,2010
150,June,2,2017,2010
151,July,3,2017,2010
152,August,3,2017,2010
153,September,3,2017,2010
154,October,4,2017,2010
155,November,4,2017,2010
156,December,4,2017,2010
157,January,1,2018,2010
158,February,1,2018,2010
159,March,1,2018,2010
160,April,2,2018,2010
161,May,2,2018,2010
162,June,2,2018,2010
163,July,3,2018,2010
164,August,3,2018,2010
165,September,3,2018,2010
166,October,4,2018,2010
167,November,4,2018,2010
168,December,4,2018,2010
169,January,1,2019,2010
170,February,1,2019,2010
171,March,1,2019,2010
172,April,2,2019,2010
173,May,2,2019,2010
174,June,2,2019,2010
175,July,3,2019,2010
176,August,3,2019,2010
177,September,3,2019,2010
178,October,4,2019,2010
179,November,4,2019,2010
180,December,4,2019,2010
181,January,1,2020,2020
182,February,1,2020,2020
183,March,1,2020,2020
184,April,2,2020,2020
185,May,2,2020,2020
186,June,2,2020,2020
187,July,3,2020,2020
188,August,3,2020,2020
189,September,3,2020,2020
190,October,4,2020,2020
191,November,4,2020,2020
192,December,4,2020,2020
