,id,peopleUsingBasicDrinkingWaterServices,peoplePracticingOpenDefecation,peopleUsingBasicSanitationServices,peopleUsingSafeSanitationServices,ruralPeopleUsingBasicSanitationServices,urbanPeopleUsingBasicSanitationServices,peopleWithBasicHandwashingFacilities,ruralPeopleWithBasicHandwashingFacilities,urbanPeopleWithBasicHandwashingFacilities,maleUnemploymentRate,femaleUnemploymentRate,totalUnemploymentRate,yearsOfMaternalLeave
0,1,,98.98564786,,89.86410386,48.89879673,72.0615615,91.83535809,,,13.52000046,10.0,,
1,2,,99.03929938,1.976227394,90.3920797,49.11201065,72.73258884,92.31073502,,,12.34000015,8.359999657,,
2,3,,99.0929509,1.925728699,90.91980455,49.32598106,73.40436101,92.78714549,,,,,,
3,4,,99.14660242,1.875211469,91.44751476,49.54076879,74.07687801,93.2645895,,,9.680000305,6.46999979,,
4,5,,99.20025394,1.824743276,91.97501431,49.75629799,74.75013983,93.74306704,,,9.829999924,7.760000229,,
5,6,,99.25390546,1.774327746,92.50233092,49.97256189,75.42414648,94.22257811,,,9.170000076,6.650000095,,
6,7,,99.30755697,1.724886697,93.02688168,50.18866086,76.09889796,94.70312272,,,8.489999771,6.239999771,,
7,8,,99.36120849,1.675980846,93.55005363,50.40496589,76.77439426,95.18470087,,,8.789999962,6.059999943,,
8,9,,99.41486001,1.627158149,94.01399452,50.61825328,76.77439426,95.66731254,,,8.460000038,6.099999905,,
9,10,,99.46851153,1.578222119,94.48011382,50.83251634,76.77439426,96.15095776,,,8.359999657,6.46999979,,
10,11,,99.52216305,,94.9480284,51.04761816,76.77439426,96.63563651,,,,,,
11,12,,99.57581457,,95.41770247,51.26354091,76.77439426,97.12134879,,,,,,
12,13,,99.62946609,,,,,97.44752134,,,9.449999809,7.510000229,,
13,14,,99.68311761,,,,,97.64239372,,,10.51000023,8.199999809,,
14,15,,99.73676913,,,,,97.83713279,,,10.68999958,9.180000305,,
15,16,,99.79042065,,,,,98.75099299,,,12.35999966,10.75,,
16,17,98.24079534,99.48998183,0.0,99.80519484,78.8857635,99.3057628,99.92909847,,,6.460000038,7.010000229,,
17,18,98.29946776,99.47343153,0.0,99.75033789,79.28068911,99.27332025,99.86800895,,,6.090000153,6.519999981,,
18,19,98.35997369,99.45688123,0.0,99.69595411,79.67517216,99.24087771,99.80691943,,,5.650000095,6.380000114,,
19,20,98.41990954,99.44033093,0.0,99.6414571,80.06894984,99.20843516,99.74582992,,,5.650000095,6.570000172,,
20,21,98.47926264,99.42378064,0.0,99.5868457,80.46202275,99.17599261,99.6847404,,,7.010000229,9.539999962,,
21,22,98.53806358,99.40723034,0.0,99.53213067,80.85439848,99.14355006,99.62365088,,,7.239999771,8.789999962,,
22,23,98.59599042,99.39068004,0.0,99.47721571,81.24600912,99.11110751,99.56256136,,,7.010000229,7.960000038,,
23,24,98.65168006,99.37412975,0.0,99.42171918,81.636549,99.07866496,99.50147184,,,6.820000172,7.71999979,,
24,25,98.70725106,99.35757945,0.0,99.36619078,82.02636889,99.04622241,99.44038232,,,6.599999905,7.5,,
25,26,98.76270793,99.34102915,0.0,99.31064352,82.41547978,99.01377986,99.3792928,,,6.389999866,7.380000114,,
26,27,98.81806216,99.32447885,0.0,99.25507123,82.80387768,98.98133731,99.31820329,,,6.289999962,7.460000038,,
27,28,98.87330686,99.30792856,0.0,99.19947682,83.1915656,98.94889476,99.25711377,,,6.239999771,7.679999828,,
28,29,98.92850562,99.29137826,0.0,99.14388406,83.5785755,98.91645221,99.19602425,,,5.849999905,6.78000021,,
29,30,98.98362633,99.27482796,0.0,99.08828896,83.97367373,98.88400966,99.13493473,,,5.489999771,6.139999866,,
30,31,99.03861451,99.25827766,0.0,99.03268117,84.36813002,98.85156711,99.07384521,,,5.25,6.03000021,,
31,32,99.03894727,99.25827766,0.0,99.03286158,84.36839322,98.85156711,99.07384521,,,9.390000343,9.529999733,,
32,33,6.161740563,77.46617029,61.87080584,4.387345766,3.355939326,2.097557945,16.68219371,,,5.099999905,5.070000172,,
33,34,6.406574901,77.91461309,58.85152533,4.697368402,3.588700651,2.374559592,16.98433968,,,4.630000114,4.619999886,,
34,35,6.674751772,78.36324652,55.83274958,5.004006991,3.818593969,2.643951325,17.28812841,,,4.5,4.730000019,,
35,36,7.022537739,78.81207058,52.74309695,5.330693277,4.063969302,2.905733145,17.59355991,,,5.420000076,6.099999905,,
36,37,7.389051059,79.26108527,49.66892809,5.652562495,4.305104889,3.159905051,17.90063417,,,8.069999695,10.28999996,,
37,38,7.775105666,79.71029058,46.60942146,5.970178339,4.5424233,3.406467043,18.2093512,7.49747289,4.825143381,8.619999886,10.52000046,,20.25518999
38,39,8.179737392,80.15968652,43.56597714,6.283374607,4.775775962,3.645419121,18.519711,7.561661917,4.825143381,8.460000038,9.369999886,,20.25518999
39,40,8.603385458,80.60927308,40.53834893,6.592580755,5.005476723,3.876761286,18.83171356,7.627240003,4.825143381,7.889999866,8.229999542,,20.25518999
40,41,9.039095602,81.05905028,37.53364479,6.895076853,5.224650007,4.100493537,19.14535889,7.69127408,4.825143381,7.079999924,7.639999866,,20.25518999
