id,primarySchoolEnrollment,secondarySchoolEnrollment,femalePrimaryCompletionRate,malePrimaryCompletionRate,malePrimaryCompletionRate,totalPublicSpendingOnEducation,adultFemaleLiteracyRate,adultMaleLiteracyRate,youthFemaleLiteracyRate,youthMaleLiteracyRate,maleChildrenOutOfPrimarySchool,femaleChildrenOutOfPrimarySchool,femaleAdolescentsOutOfPrimarySchool
1,Canada,2005,97.36457062,101.3911896,null,null,4.765880108,null,null,null,null,null,null,null
2,Canada,2006,98.88063049,101.7282486,null,null,null,null,null,null,null,null,null,null
3,Canada,2007,98.96647644,101.9034882,null,null,4.766409874,null,null,null,null,null,null,null
4,Canada,2008,98.01331329,102.3444366,null,null,4.62612009,null,null,null,null,null,null,null
5,Canada,2009,99.00879669,102.7344437,null,null,4.840579987,null,null,null,null,null,null,null
6,Canada,2010,98.64160156,102.3984833,null,null,5.356369972,null,null,null,null,null,null,null
7,Canada,2011,98.1893692,103.3489609,null,null,5.262050152,null,null,null,null,null,null,null
8,Canada,2012,99.51828003,109.9874878,null,null,null,null,null,null,null,null,null,null
9,Canada,2013,100.3407135,109.4859924,null,null,null,null,null,null,null,null,null,0.614790022
10,Canada,2014,101.5366592,109.3330994,null,null,null,null,null,null,null,null,null,0.240580007
11,Canada,2015,102.4850769,110.3565292,null,null,null,null,null,null,null,null,null,null
12,Canada,2016,101.0238724,112.5142822,null,null,null,null,null,null,null,null,null,null
13,Canada,2017,100.9436798,113.7628632,null,null,null,null,null,null,null,null,null,null
14,Canada,2018,101.501091,114.1235123,null,null,null,null,null,null,null,null,null,null
15,Canada,2019,100.9897537,114.3332672,null,null,null,null,null,null,null,null,null,null
16,Canada,2020,null,null,null,null,null,null,null,null,null,null,null,null
17,Argentina,2005,115.2991486,92.76067352,94.81124115,94.47753143,3.860009909,null,null,null,null,null,null,null
18,Argentina,2006,117.2033005,91.81352997,97.14913177,97.05728912,4.128210068,98.51077271,98.72718811,99.50357056,99.38613892,null,null,0.812740028
19,Argentina,2007,118.0511093,91.91613007,99.95810699,99.78044891,4.462600231,null,null,null,null,null,null,0.316179991
20,Argentina,2008,118.5934601,93.23705292,103.0978088,103.1850433,4.844409943,null,null,null,null,null,null,null
21,Argentina,2009,117.905983,96.61971283,103.1102982,103.4908524,5.531050205,99.00176239,98.96272278,99.69673157,99.47492218,null,null,null
22,Argentina,2010,116.9757614,99.50125885,103.1453171,103.9749374,5.019710064,98.92807007,98.98532104,99.58866882,99.0121994,null,null,null
23,Argentina,2011,115.6147308,101.5350037,103.6578522,104.1096115,5.290629864,98.99983978,99.22830963,99.71144867,99.54524994,null,null,null
24,Argentina,2012,114.2271729,103.4764786,102.9941177,103.6979294,5.345829964,99.0999527,99.11112976,99.6142807,99.14453125,null,null,null
25,Argentina,2013,112.0119476,105.0414124,101.175209,102.0984268,5.436610222,99.09120941,99.15602875,99.59812164,99.51033783,null,null,null
26,Argentina,2014,111.459671,106.0355606,102.5903931,103.6044617,5.361440182,98.93282318,99.06124878,99.40239716,99.19586945,null,null,null
27,Argentina,2015,111.3034134,106.9464722,102.4773331,103.4526901,5.776110172,99.20877075,99.14824677,99.64350128,99.48339844,null,null,null
28,Argentina,2016,110.7391815,108.4623337,104.3348923,103.4678116,5.545489788,99.14309692,99.1049881,99.62892914,99.38448334,null,null,0.120250002
29,Argentina,2017,109.7414627,108.7335968,99.69320679,100.2227936,5.454319954,null,null,null,null,null,null,null
30,Argentina,2018,109.6591721,107.6472778,98.43654633,98.96637726,4.945519924,99.06204224,98.93773651,99.75765228,99.24182892,null,null,null
31,Argentina,2019,109.5162964,108.2308426,98.17658234,98.90470123,4.802370071,null,null,null,null,null,null,1.253700018
32,Argentina,2020,null,null,null,null,null,null,null,null,null,null,null,null
33,United States,2005,101.8740234,95.0524826,null,null,null,null,null,null,null,0.26888001,0.847800016,null
34,United States,2006,null,null,null,null,null,null,null,null,null,null,null,null
35,United States,2007,null,null,null,null,null,null,null,null,null,null,null,null
36,United States,2008,null,null,null,null,null,null,null,null,null,null,null,null
37,United States,2009,null,null,null,null,null,null,null,null,null,null,null,null
38,United States,2010,null,null,null,null,null,null,null,null,null,null,null,null
39,United States,2011,null,null,null,null,null,null,null,null,null,null,null,null
40,United States,2012,null,null,null,null,null,null,null,null,null,null,null,null
41,United States,2013,99.45543671,96.18649292,null,null,null,null,null,null,null,3.14109993,2.665260077,null
42,United States,2014,99.67337799,96.92453766,null,null,null,null,null,null,null,null,null,null
43,United States,2015,100.2999115,97.65254974,null,null,null,null,null,null,null,1.917379975,1.698950052,null
44,United States,2016,101.3628616,98.76992798,null,null,null,null,null,null,null,0.43096,0.291880012,null
45,United States,2017,101.8214417,98.95233917,97.16603088,100.4294662,null,null,null,null,null,null,null,null
46,United States,2018,101.2565613,99.27558136,95.47634125,104.5101929,null,null,null,null,null,0.63568002,0.515320003,null
47,United States,2019,100.9813004,100.0634308,103.3436279,97.75263977,null,null,null,null,null,0.848990023,0.98131001,null
48,United States,2020,null,null,null,null,null,null,null,null,null,null,null,null
49,Mexico,2005,108.6008377,82.30407715,101.5484009,99.62754059,4.845689774,90.21041107,93.1904068,97.62792969,97.64424896,null,null,7.998589993
50,Mexico,2006,108.1747665,84.08560181,101.6210022,100.1787109,4.699920177,89.8345108,93.90119934,97.69171906,98.10611725,null,null,5.995100021
51,Mexico,2007,108.7997131,84.90705109,102.5415192,101.3964691,4.690509796,91.35555267,94.44151306,98.11611176,98.19888306,null,null,5.080039978
52,Mexico,2008,109.4244232,86.42752838,101.7078018,100.8843079,4.82006979,91.45361328,94.59216309,98.35642242,98.40971375,null,null,4.983980179
53,Mexico,2009,110.5452805,85.93801117,99.93875885,99.71331787,5.187940121,92.11624908,94.91657257,98.38159943,98.67002869,null,null,5.385849953
54,Mexico,2010,110.6334915,87.0699234,100.4644012,100.0202866,5.159220219,91.85341644,94.38394165,98.49212646,98.3755722,null,null,6.913360119
55,Mexico,2011,110.5407562,88.19017792,100.240593,100.1556396,5.105649948,92.33827972,94.78276825,98.50666046,98.41655731,null,null,7.139840126
56,Mexico,2012,110.4134521,90.66719818,106.6098175,105.4295731,5.103099823,93.17923737,95.39163208,99.02957153,98.72036743,null,null,6.911550045
57,Mexico,2013,109.4414825,93.3275528,109.9265518,108.9388123,4.696050167,92.90393829,95.11210632,98.60191345,98.52684021,null,null,4.309810162
58,Mexico,2014,108.0057526,97.34338379,110.774292,110.2519302,5.257470131,93.59133911,95.62046814,99.07946014,98.92221069,null,null,3.068730116
59,Mexico,2015,106.6061096,100.8327408,105.0175323,104.805809,5.229420185,93.48549652,95.54933167,99.01495361,98.8735199,null,null,1.999359965
60,Mexico,2016,106.2777328,102.4040604,104.0164719,103.9240265,4.90681982,93.96852112,95.84481812,99.20722961,99.02591705,null,null,2.737570047
