id,name,year,femaleLifeExpectancy,maleLifeExpectancy,totalLifeExpectancy,netMigration,ageDependencyRatio,povertyHeadcountRatio,populationGrowth,ruralPopulationGrowth,urbanPopulationGrowth,populationSize,averageAge,infantMortalityRate,
1,Argentina,2005,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
2,Argentina,2006,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
3,Argentina,2007,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
4,Argentina,2008,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
5,Argentina,2009,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
6,Argentina,2010,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
7,Argentina,2011,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
8,Argentina,2012,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
9,Argentina,2013,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
10,Argentina,2014,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
11,Argentina,2015,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
12,Argentina,2016,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
13,Argentina,2017,77.831,71.008,74.451,null,59.1631553,null,1.036268365,-0.664499364,1.226383087,38892924.0,10716.0,null,null
